,Diameter,Average,BOI
0,25.9,0.8800000000000001,0.938083151964686
1,32.0,22.860000000000003,4.7812132351527685
2,36.2,64.16,8.009993757800315
3,41.2,156.2,12.497999839974394
4,43.5,214.0,14.628738838327793
5,45.9,217.0,14.730919862656235
